SN,country,points,price,province,region_1,variety,winery
83,France,91,45,Burgundy,Chablis,Chardonnay,Domaine Gérard Duplessis
84,US,91,22,California,Napa Valley,Cabernet Sauvignon,Eagle Glen
85,US,91,65,California,Russian River Valley,Pinot Noir,Eleven Eleven
86,US,91,50,California,Napa Valley,Meritage,Franciscan
87,US,86,10,California,California,Cabernet Sauvignon,Belle Ambiance
88,Portugal,86,12,Beira Atlantico,,Baga,Adega de Cantanhede
89,Italy,86,22,Veneto,Prosecco,Glera,De Stefani
90,US,86,13,California,Mendocino County,Chardonnay,Parducci
91,Portugal,86,10,Douro,,Portuguese Red,Quinta do Portal
92,France,86,14,Southwest France,Cahors,Malbec-Merlot,Rigal
93,US,86,18,California,California,Chardonnay,The Naked Grape
94,US,86,36,California,Sonoma Valley,Cabernet Sauvignon,Tin Barn
95,France,86,15,Southwest France,Buzet,Merlot-Malbec,Georges Vigouroux
96,France,86,10,Southwest France,Côtes de Gascogne,Ugni Blanc-Colombard,Georges Vigouroux
97,US,86,24,California,South Coast,Viognier,Hawk Watch Winery
98,US,86,50,California,Napa Valley,Cabernet Sauvignon,Hestan
99,Italy,86,45,Tuscany,Brunello di Montalcino,Sangiovese,Il Grappolo
100,US,86,48,California,Knights Valley,Cabernet Sauvignon-Cabernet Franc,Ehret
101,US,86,20,California,Paso Robles,Moscato,EOS
102,US,86,17,Washington,Yakima Valley,Pinot Grigio,Martinez & Martinez
103,US,86,12,California,Lodi,Cabernet Franc,Ironstone
104,US,86,10,California,California,Chardonnay,Leaping Horse
105,US,86,13,California,California,White Blend,Kitchen Sink
106,US,86,45,California,Napa Valley,Chardonnay,Kuleto Estate
107,Portugal,86,12,Tejo,,Portuguese Red,Wines & Winemakers
108,Argentina,86,12,Mendoza Province,Tupungato,Rosé,Zorzal
109,US,86,125,California,Howell Mountain,Cabernet Sauvignon,Charles Krug
110,US,86,25,New York,Hudson River Region,Riesling,Millbrook
111,South Africa,86,20,Stellenbosch,,Sauvignon Blanc,Waterkloof
112,Argentina,86,15,Mendoza Province,Valle de Uco,Malbec,Viñalba
113,France,86,20,Southwest France,Gaillac,Rosé,Château Clément Termes
114,France,86,15,Southwest France,,Gamay,Château Coutinel
115,Portugal,86,7,Alentejano,,Portuguese Red,Adega Cooperativa de Borba
116,US,91,59,California,Russian River Valley,Pinot Noir,MacPhail
117,US,91,49,California,Anderson Valley,Pinot Noir,Foursight
118,US,91,42,California,Santa Maria Valley,Sparkling Blend,Goat Bubbles
119,US,91,93,California,Napa Valley,Chardonnay,Grgich Hills
120,US,91,32,California,Anderson Valley,Pinot Noir,Navarro
121,US,91,20,California,Anderson Valley,Pinot Noir,Navarro
122,US,90,100,California,Amador County,Zinfandel,Renwood
123,US,90,50,California,St. Helena,Cabernet Sauvignon,Trinchero
124,Spain,90,22,Northern Spain,Rioja,Tempranillo,Pagos del Rey
125,Italy,90,45,Sicily & Sardinia,Etna,White Blend,Biondi
126,Italy,90,18,Southern Italy,Greco di Tufo,Greco,Cantine di Marzo
127,US,90,45,California,Santa Lucia Highlands,Chardonnay,Alexander-Smith
128,US,90,26,California,Amador County,Barbera,Andis
129,US,90,16,California,Sonoma County,Chardonnay,Benziger
130,US,90,30,California,Napa Valley,Cabernet Sauvignon,Beaucanon
131,US,90,42,California,Adelaida District,Grenache,Brecon Estate
132,US,90,38,California,Adelaida District,Zinfandel,Peachy Canyon
133,US,90,48,California,California,Rhône-style Red Blend,Three
134,Spain,90,17,Northern Spain,Rioja,Tempranillo,Valdelacierva
135,France,90,18,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,Rosé,Château de Lancyre
136,France,90,15,Bordeaux,Bordeaux Rosé,Rosé,Château Suau
137,US,90,28,California,Napa Valley,Sauvignon Blanc,Clif Family
138,US,90,25,California,Santa Lucia Highlands,Grenache,Santa Cruz Mountain Vineyard
139,US,90,26,Oregon,Applegate Valley,Chardonnay,Schmidt
140,US,90,24,California,Edna Valley,Albariño,Stephen Ross
141,US,90,55,California,Anderson Valley,Pinot Noir,Goldeneye
142,US,90,36,California,Napa Valley,Zinfandel,Grgich Hills
143,Spain,90,17,Galicia,Rías Baixas,Albariño,Mar de Viñas
144,US,90,40,California,Sta. Rita Hills,Syrah,Kessler-Haak
145,US,90,28,California,Ballard Canyon,Malvasia Bianca,Larner
146,US,89,50,Oregon,Willamette Valley,Pinot Noir,Bomb
147,Greece,89,24,Atalanti Valley,,White Blend,Hatzimichalis
148,Spain,89,17,Catalonia,Cava,Sparkling Blend,Bohigas
149,Greece,89,21,Santorini,,Assyrtiko,Boutari
150,Greece,89,18,Florina,,Malagouzia,Alpha Estate
151,Chile,89,20,Marchigue,,Carmenère,Viña Bisquertt
152,France,89,20,Southwest France,Cahors,Bordeaux-style Red Blend,Chateau Quattre
153,US,89,24,Oregon,Rogue Valley,Sangiovese,Ledger David
154,Spain,89,44,Northern Spain,Rioja,Tempranillo,CVNE
155,Chile,89,19,Colchagua Valley,,Red Blend,Estampa
156,US,89,42,California,Happy Canyon of Santa Barbara,Bordeaux-style Red Blend,Foxen 7200
157,US,89,35,Oregon,Oregon,Pinot Noir,Irvine Family Vineyards
158,Spain,89,44,Northern Spain,Rioja,Tempranillo Blend,Marqués de Cáceres
159,US,89,16,California,Dunnigan Hills,Syrah,Matchbook
160,US,89,23,California,Paso Robles,Viognier,Eberle
161,US,89,36,Oregon,Willamette Valley,Pinot Noir,Silvan Ridge
162,Italy,89,25,Tuscany,Toscana,Red Blend,Tenuta degli Dei
163,Italy,89,22,Tuscany,Toscana,Red Blend,Poggio Mandorlo
164,Portugal,89,20,Douro,,Touriga Nacional,Quinta das Carvalhas
165,US,89,25,California,Livermore Valley,Chardonnay,Occasio
166,US,89,42,California,Sta. Rita Hills,Pinot Noir,Sanford
167,Chile,89,30,Curicó Valley,,Cabernet Sauvignon-Cabernet Franc,Santa Alba
168,Greece,89,17,Nemea,,Agiorgitiko,Boutari
169,US,89,49,California,Anderson Valley,Pinot Noir,Foursight
170,France,89,16,Rhône Valley,Côtes du Rhône,Rhône-style Red Blend,Ogier
171,Spain,89,30,Northern Spain,Toro,Tinta de Toro,Pagos del Rey
172,Italy,89,40,Tuscany,Toscana,Sangiovese,Altesino
173,Italy,89,57,Tuscany,Toscana,Red Blend,Cabreo
174,US,89,29,California,Napa Valley,Cabernet Sauvignon,Cameron Hughes
175,Chile,89,61,Maule Valley,,Red Blend,Casa Donoso
176,US,88,25,California,Sonoma Coast,Chardonnay,Rodney Strong
177,US,88,25,California,Paso Robles,Syrah,San Simeon
178,US,88,49,California,Sonoma Coast,Pinot Noir,Siduri
179,US,88,20,Washington,Yakima Valley,Picpoul,Syncline
180,Argentina,88,26,Mendoza Province,Luján de Cuyo,Bordeaux-style Red Blend,Piattelli
181,US,88,34,Washington,Columbia Valley (WA),Bordeaux-style Red Blend,Pondera
182,US,88,38,California,Paso Robles,Zinfandel,Tobin James
183,US,88,38,California,Paso Robles,Zinfandel,Tobin James
184,Spain,88,25,Northern Spain,Valdeorras,Godello,Valdesil
185,Spain,87,22,Catalonia,Montsant,Red Blend,Jaspi
186,Argentina,87,15,Mendoza Province,Tupungato,Malbec,Tupun
187,France,87,20,Bordeaux,Graves,Bordeaux-style Red Blend,Château Beauregard Lagupeau
188,France,87,25,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château du Taillan
189,France,87,20,Bordeaux,Saint-Estèphe,Bordeaux-style Red Blend,Château la Haye
190,France,87,20,Bordeaux,Fronsac,Bordeaux-style Red Blend,Château Lalande Mausse
191,France,87,25,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château Magnol
192,US,87,10,California,California,Chardonnay,Grand Pacific
193,US,87,18,Washington,Columbia Valley (WA),Malbec,Hamilton
194,US,87,18,New York,Finger Lakes,Chardonnay,Heron Hill
195,US,87,14,New York,Finger Lakes,Riesling,Heron Hill
196,US,87,14,New York,Finger Lakes,Riesling,Fox Run
197,US,87,40,New York,Finger Lakes,Cabernet Franc,Glenora
198,France,87,18,Bordeaux,Médoc,Bordeaux-style Red Blend,Château Roc Taillade
199,France,87,20,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château Sénéjac
200,US,87,10,Washington,Columbia Valley (WA),Gewürztraminer,Chateau Ste. Michelle
201,US,87,11,Washington,Columbia Valley (WA),Merlot,Castle Rock
202,US,87,36,Washington,Columbia Valley (WA),Cabernet Sauvignon,Dussek Family Cellars
203,US,87,20,New York,Finger Lakes,Cabernet Franc,Serenity
204,US,87,32,Washington,Wahluke Slope,Grenache,Sol Stone
205,Spain,87,18,Catalonia,Cava,Sparkling Blend,Sumarroca
206,Portugal,93,55,Douro,,Portuguese Red,Poças
207,Italy,93,49,Piedmont,Barbaresco,Nebbiolo,Rizzi
208,US,93,50,California,Rockpile,Zinfandel,Robert Biale
209,Italy,93,58,Piedmont,Barbaresco,Nebbiolo,Sottimano
210,France,93,39,Alsace,Alsace,Riesling,Domaine Jean-Luc Mader
211,France,93,65,Alsace,Alsace,Riesling,Domaine Zind-Humbrecht
212,Morocco,93,35,Guerrouane,,Syrah-Grenache,Bernard Magrez
213,Italy,93,80,Piedmont,Barolo,Nebbiolo,Borgogno
214,France,93,42,Alsace,Alsace,Riesling,Domaine François Schmitt
215,France,93,61,Alsace,Alsace,Riesling,Gustave Lorentz
216,US,93,58,Washington,Red Mountain,G-S-M,Force Majeure
217,US,93,38,California,Paso Robles,Mourvèdre,Anglim
218,France,93,48,Alsace,Alsace,Riesling,Domaine Ostertag
219,US,93,50,California,Napa Valley,Zinfandel,Robert Biale
220,Italy,93,58,Piedmont,Barbaresco,Nebbiolo,Sottimano
221,France,93,120,Bordeaux,Sauternes,Bordeaux-style White Blend,Château Raymond-Lafon
222,US,93,50,California,Fort Ross-Seaview,Syrah,Red Car
223,US,93,80,Washington,Red Mountain,Cabernet Sauvignon,Force Majeure
224,US,93,40,California,Santa Barbara County,Syrah,Mulvane Wine Co.
225,Portugal,93,41,Douro,,Portuguese Red,Caves Aliança
226,US,93,48,Washington,Horse Heaven Hills,Cabernet Sauvignon,Double Canyon
227,US,93,200,California,Napa Valley,Cabernet Sauvignon,Diamond Creek
228,US,93,39,Washington,Red Mountain,Petit Verdot,Côtes de Ciel
229,US,93,62,Washington,Red Mountain,Cabernet Sauvignon,Sparkman
230,Italy,93,43,Piedmont,Barbaresco,Nebbiolo,Punset
231,France,92,35,Alsace,Alsace,Riesling,Domaine Ehrhart
232,France,92,48,Alsace,Alsace,Riesling,Domaine Zinck
233,France,92,55,Alsace,Alsace,Riesling,Domaine Zind-Humbrecht
234,Portugal,92,40,Alentejano,,Portuguese Red,Dona Maria-Júlio Bastos
235,Italy,92,69,Piedmont,Barbaresco,Nebbiolo,Fontanafredda
236,France,88,16,Bordeaux,Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Chantemerle
237,France,88,16,Bordeaux,Bordeaux Blanc,Bordeaux-style White Blend,Château Chaubinet
238,France,88,15,Bordeaux,Côtes de Bourg,Bordeaux-style Red Blend,Château Fongalan
239,France,88,13,Bordeaux,Bordeaux Blanc,Bordeaux-style White Blend,Château Mezain
240,US,88,28,California,Carneros,Chardonnay,Clos du Val
241,US,88,36,Oregon,McMinnville,Pinot Noir,Coeur de Terre
242,Romania,88,9,Colinele Dobrogei,,Rosé,Cramele Halewood
243,US,88,24,California,Central Coast,Chardonnay,Daniel Gehrs
244,US,88,30,California,Russian River Valley,Rhône-style White Blend,Davis Family
245,US,88,25,California,Sonoma County,Merlot,Decoy
246,Italy,88,34,Piedmont,Barolo,Nebbiolo,Reversanti
247,US,88,60,Oregon,Chehalem Mountains,Pinot Noir,Roco
248,US,88,54,California,Carneros,Pinot Noir,Saintsbury
249,US,88,15,Oregon,Willamette Valley,Muscat,Silvan Ridge
250,Italy,88,56,Piedmont,Barolo,Nebbiolo,Silvano Bolmida
251,US,88,20,California,Napa Valley,Sauvignon Blanc,St. Supéry
252,US,88,61,California,Santa Lucia Highlands,Pinot Noir,Testarossa
253,Italy,88,46,Piedmont,Barolo,Nebbiolo,Trediberri
254,Spain,88,30,Northern Spain,Cigales,Tempranillo,Val de Los Frailes
255,Spain,88,17,Central Spain,La Mancha,Tempranillo Blend,Yuntero
256,US,88,40,California,Paso Robles,Cabernet Sauvignon-Merlot,Oso Libre
257,US,88,39,California,Paso Robles,Red Blend,Oso Libre
258,Italy,88,49,Piedmont,Barolo,Nebbiolo,Palladino
259,France,88,23,Loire Valley,Sancerre,Sauvignon Blanc,Pierre Prieur et Fils
260,US,88,16,California,Monterey County,Pinot Grigio,Bargetto
261,US,88,32,California,Paso Robles,Mourvèdre,Adelaida
262,US,88,18,California,Santa Barbara County,Chardonnay,Alma Rosa
263,Argentina,88,15,Mendoza Province,Agrelo,Cabernet Sauvignon,Lamadrid
264,France,92,92,Burgundy,Beaune,Pinot Noir,Domaine de Bellene
265,France,92,94,Burgundy,Chassagne-Montrachet,Chardonnay,Domaine Vincent Girardin
266,US,92,58,California,Coombsville,Chardonnay,Failla
267,US,92,50,California,Amador County,Rhône-style Red Blend,Gallica
268,US,92,48,California,Russian River Valley,Sparkling Blend,J Vineyards & Winery
269,US,92,32,California,Sonoma Coast,Pinot Noir,Les Voleurs
270,Italy,92,27,Northeastern Italy,Alto Adige,Pinot Bianco,Nals Margreid
271,Portugal,92,35,Vinho Verde,,Alvarinho,Provam
272,Portugal,92,95,Douro,,Portuguese White,Quinta Nova de Nossa Senhora do Carmo
273,US,92,43,California,Santa Maria Valley,Pinot Noir,Ryan Cochrane
274,Italy,92,33,Veneto,Soave Classico,Garganega,Suavia
275,Italy,92,60,Northeastern Italy,Alto Adige,Sauvignon,Cantina Terlano
276,France,92,30,Bordeaux,Graves,Bordeaux-style Red Blend,Château Haut Selve
277,US,92,100,California,Mount Veeder,Cabernet Sauvignon,Communication Block
278,US,92,35,California,Monterey County,Syrah,Baker & Brain
279,France,91,60,Burgundy,Santenay,Chardonnay,Domaine de Bellene
280,France,91,16,Southwest France,Côtes du Tarn,Bordeaux-style Red Blend,Domaine D'en Ségur
281,France,91,40,Burgundy,Pouilly-Fuissé,Chardonnay,Domaine Sangouard-Guyot
282,US,91,60,Oregon,Willamette Valley,Pinot Noir,Elk Cove
283,France,91,100,Burgundy,Clos de Vougeot,Pinot Noir,Evening Land
284,Portugal,91,18,Alentejano,,Touriga Nacional,Herdade de São Miguel
285,US,91,16,Oregon,Oregon,Pinot Gris,Iris Vineyards
286,US,91,42,California,Paso Robles,Syrah,Jack Creek
287,US,91,20,California,Napa Valley,Pinot Noir,Brick & Mortar
288,Italy,91,25,Northeastern Italy,Alto Adige,Sauvignon,Colterenzio
289,Italy,91,23,Northeastern Italy,Alto Adige,Pinot Grigio,Colterenzio
290,US,91,38,California,Carneros,Pinot Noir,Cuvaison
291,US,91,32,California,Clear Lake,Zinfandel,De Loach
292,US,94,60,Washington,Walla Walla Valley (WA),Syrah,Saviah
293,US,94,30,California,Napa Valley,Riesling,Smith-Madrone
294,Italy,94,85,Veneto,Amarone della Valpolicella Classico,Red Blend,Speri
295,US,94,30,California,Napa Valley,Riesling,Stony Hill
296,US,94,65,California,Santa Maria Valley,Pinot Noir,Testarossa
297,New Zealand,94,57,Kumeu,,Chardonnay,Kumeu River
298,US,94,90,Oregon,Dundee Hills,Pinot Noir,Bergström
299,US,94,85,California,Anderson Valley,Pinot Noir,Black Kite
300,US,94,70,California,Fort Ross-Seaview,Pinot Noir,Blue Farm
301,US,94,70,Oregon,Willamette Valley,Pinot Noir,Domaine Serene
302,US,94,60,California,Russian River Valley,Pinot Noir,Gary Farrell
303,Italy,94,38,Veneto,Soave Classico,Garganega,Gini
304,Italy,94,29,Veneto,Soave Classico,Garganega,Gini
305,US,94,155,California,Napa Valley,Cabernet Sauvignon,Parallel
306,US,94,48,Oregon,Dundee Hills,Pinot Noir,Patricia Green Cellars
307,US,94,95,California,Mount Veeder,Cabernet Sauvignon,Sbragia
308,US,94,80,California,Carneros,Sparkling Blend,Schramsberg
309,US,94,49,Oregon,Ribbon Ridge,Pinot Noir,Trisaetum
310,France,94,35,Southwest France,Madiran,Tannat-Cabernet,Vignobles Brumont
311,US,94,50,Washington,Walla Walla Valley (WA),Syrah,Waters
312,France,94,44,Provence,Bandol,Provence red blend,Domaine de la Bégude
313,Spain,94,68,Northern Spain,Rioja,Tempranillo Blend,Bodega Classica
314,France,94,20,Provence,Coteaux d'Aix-en-Provence,Rosé,Château Vignelaure
315,US,94,95,California,Napa Valley,Cabernet Sauvignon,Pellet Estate
316,France,94,44,Provence,Bandol,Provence red blend,Domaine de la Bégude
317,Argentina,94,50,Mendoza Province,Mendoza,Cabernet Sauvignon,Pascual Toso
318,France,94,100,Provence,Côtes de Provence,Rosé,Château d'Esclans
319,France,94,70,Southwest France,Cahors,Malbec,Château Lagrézette
320,US,94,63,Oregon,Willamette Valley,Chardonnay,Ponzi
321,Italy,91,75,Piedmont,Barolo,Nebbiolo,Fratelli Alessandria
322,Germany,91,23,Mosel,,Riesling,Friedrich-Wilhelm-Gymnasium
323,US,91,50,California,Knights Valley,Cabernet Sauvignon,Galerie
324,Spain,91,22,Galicia,Rías Baixas,Albariño,Granbazán
325,US,91,45,California,Napa Valley,Sauvignon Blanc,Grieve
326,Portugal,91,130,Alentejano,,Alicante Bouschet,Herdade do Rocim
327,US,91,38,California,Paso Robles Willow Creek District,Rhône-style White Blend,Jada Vineyard & Winery
328,US,91,30,Oregon,Willamette Valley,Pinot Noir,La Crema
329,US,91,22,California,Knights Valley,Syrah,Lawer
330,Italy,91,90,Piedmont,Barolo,Nebbiolo,Marchesi di Barolo
331,US,91,60,California,Napa Valley,Cabernet Sauvignon,Michael Mondavi Family Estate
332,Italy,91,115,Piedmont,Barolo,Nebbiolo,Oddero
333,US,91,55,California,Russian River Valley,Pinot Noir,Small Vines
334,Portugal,91,30,Alentejano,,Rhône-style Red Blend,Terras de Alter
335,Portugal,91,14,Alentejano,,Aragonês,Terras de Alter
336,US,91,48,California,Santa Lucia Highlands,Chardonnay,Testarossa
337,US,91,40,California,Russian River Valley,Chardonnay,Thomas George
338,Germany,91,39,Rheinhessen,,Silvaner,Thörle
339,Italy,91,60,Piedmont,Barolo,Nebbiolo,Vite Colte
340,US,91,50,California,Santa Maria Valley,Chardonnay,Wedell Cellars
341,US,91,48,Oregon,Dundee Hills,Pinot Noir,Winderlea
342,France,91,54,Champagne,Champagne,Chardonnay,A.R. Lenoble 
343,Portugal,91,42,Alentejo,,Portuguese Red,Adega Cooperativa de Borba
344,US,91,50,Oregon,Willamette Valley,Sparkling Blend,Argyle
345,Israel,91,40,Golan Heights,,Cabernet Sauvignon,Bazelet HaGolan
346,US,91,40,California,Santa Lucia Highlands,Chardonnay,Bernardus
347,US,91,42,Oregon,Willamette Valley,Pinot Noir,Big Table Farm
348,Italy,91,85,Piedmont,Barolo,Nebbiolo,Icardi
349,Spain,91,32,Northern Spain,Ribera del Duero,Tempranillo,Matarromera
350,US,90,41,California,Paso Robles,Red Blend,Le Vigne
351,US,90,27,California,Paso Robles Willow Creek District,Ugni Blanc,Paix Sur Terre
352,US,90,29,Oregon,Umpqua Valley,Grüner Veltliner,Reustle
353,France,90,33,Alsace,Alsace,Pinot Noir,Domaine Bott-Geyl
354,France,90,70,Burgundy,Gevrey-Chambertin,Pinot Noir,Domaine Faiveley
355,US,90,19,Oregon,Willamette Valley,Pinot Noir,Pike Road
356,Italy,90,22,Sicily & Sardinia,Vittoria,Frappato,Planeta
357,Germany,90,25,Württemberg,,Lemberger,Schnaitmann
358,France,90,27,Alsace,Alsace,Sylvaner,Domaine Ostertag
359,France,90,22,Alsace,Alsace,Chasselas,Domaine Schoffit
360,France,90,30,Alsace,Alsace,Alsace white blend,Domaine Zind-Humbrecht
361,US,90,15,Oregon,Oregon,Pinot Gris,Firesteed
362,US,90,45,Oregon,Dundee Hills,Pinot Noir,The Eyrie Vineyards
363,France,90,80,Burgundy,Pommard,Pinot Noir,Albert Bichot
364,US,90,18,Oregon,Oregon,Albariño,J. Scott Cellars
365,Italy,90,19,Southern Italy,Greco di Tufo,Greco,Villa Raiano
366,Germany,90,31,Mosel,,Riesling,Dr. H. Thanisch (Erben Thanisch)
367,US,90,15,California,California,Cabernet Sauvignon,Hahn
368,US,90,15,California,North Coast,Cabernet Sauvignon,Lyeth
369,US,90,24,California,Napa Valley,Merlot,Napa Cellars
370,US,90,80,California,Napa Valley,Red Blend,Paraduxx
371,Spain,90,35,Northern Spain,Ribera del Duero,Tempranillo,Quintana de Cue
372,Germany,90,40,Ahr,,Früburgunder,Winzergenossenschaft Mayschoss-Altenahr
373,Spain,90,28,Central Spain,La Mancha,Tempranillo,Casa del Valle
374,US,90,50,California,Napa Valley,Cabernet Sauvignon,Freemark Abbey
375,US,90,28,California,Dry Creek Valley,Cabernet Sauvignon,Joleté
376,US,90,36,California,California,Rhône-style Red Blend,Prospect 772
377,US,90,40,California,Red Hills Lake County,Cabernet Sauvignon,Boatique
378,US,90,50,California,Central Coast,Chardonnay,Hearst Ranch
379,US,90,75,California,Paso Robles,Cabernet Sauvignon,Hunt Cellars
380,Italy,90,60,Tuscany,Brunello di Montalcino,Sangiovese,La Fiorita
381,US,90,46,Washington,Walla Walla Valley (WA),Malbec,Merry Cellars
382,Canada,90,70,British Columbia,Okanagan Valley,Bordeaux-style Red Blend,Mission Hill
383,Spain,90,26,Galicia,Rías Baixas,Albariño,Palacio de Fefiñanes
384,Italy,90,60,Tuscany,Brunello di Montalcino,Sangiovese,Piccini
385,Italy,90,75,Tuscany,Brunello di Montalcino,Sangiovese,Pietranera
